NUTS_ID,Country,Name,Exposed_Total,Regional_Total,Pct_Total,Exposed_Under15,Regional_Under15,Pct_Under15,Exposed_15_64,Regional_15_64,Pct_15_64,Exposed_65plus,Regional_65plus,Pct_65plus
DE91,DE,Braunschweig,0,1569937,0.0,0,207733,0.0,0,993227,0.0,0,369035,0.0
DE92,DE,Hannover,0,2087376,0.0,0,281950,0.0,0,1324709,0.0,0,481175,0.0
DE93,DE,Lüneburg,0,1691743,0.0,0,235817,0.0,0,1059335,0.0,0,397328,0.0
DE94,DE,Weser-Ems,0,2517560,0.0,0,357632,0.0,0,1618305,0.0,0,542314,0.0
DEA2,DE,Köln,0,4402872,0.0,0,607850,0.0,0,2880468,0.0,0,914754,0.0
DEA4,DE,Detmold,0,2040590,0.0,0,294283,0.0,0,1306938,0.0,0,439950,0.0
DEA5,DE,Arnsberg,0,3530233,0.0,0,478733,0.0,0,2263941,0.0,0,787980,0.0
DEB1,DE,Koblenz,0,1497560,0.0,0,204098,0.0,0,943231,0.0,0,350160,0.0
DEB3,DE,Rheinhessen-Pfalz,0,2035854,0.0,0,280582,0.0,0,1304158,0.0,0,451223,0.0
DED2,DE,Dresden,0,1574789,0.0,0,168351,0.0,0,898344,0.0,0,388311,0.0
DED5,DE,Leipzig,0,1044786,0.0,0,144161,0.0,0,658080,0.0,0,242578,0.0
DEE0,DE,Sachsen-Anhalt,146,2132182,0.01,26,262692,0.01,92,1274342,0.01,29,595552,0.0
DK01,DK,Hovedstaden,0,1822172,0.0,0,303541,0.0,0,1204709,0.0,0,313922,0.0
DK03,DK,Syddanmark,0,1200141,0.0,0,193251,0.0,0,745191,0.0,0,261706,0.0
DK04,DK,Midtjylland,0,1318835,0.0,0,221211,0.0,0,838715,0.0,0,258909,0.0
DK05,DK,Nordjylland,0,579495,0.0,0,90533,0.0,0,361748,0.0,0,127214,0.0
EE00,EE,Eesti,0,1319614,0.0,0,195935,0.0,0,803058,0.0,0,240376,0.0
EL30,EL,Attiki,25036,3768824,0.66,4021,498836,0.81,15986,2472126,0.65,5059,797676,0.63
EL41,EL,Voreio Aigaio,168,181905,0.09,22,25154,0.09,78,112157,0.07,60,44647,0.13
EL42,EL,Notio Aigaio,1037,297911,0.35,142,46520,0.31,611,192886,0.32,302,58555,0.52
EL43,EL,Kriti,205,599122,0.03,12,94524,0.01,105,382574,0.03,85,122015,0.07
EL51,EL,"Anatoliki Makedonia, Thraki",3110,549281,0.57,259,74702,0.35,1805,342505,0.53,1037,132053,0.79
EL52,EL,Kentriki Makedonia,0,1764600,0.0,0,239586,0.0,0,1124734,0.0,0,400352,0.0
EL53,EL,Dytiki Makedonia,0,252938,0.0,0,31959,0.0,0,157128,0.0,0,63914,0.0
EL54,EL,Ipeiros,138,313799,0.04,8,39175,0.02,63,187092,0.03,69,87291,0.08
EL61,EL,Thessalia,703,680951,0.1,113,92096,0.12,461,417463,0.11,122,171511,0.07
EL62,EL,Ionia Nisia,460,190139,0.24,52,26574,0.2,252,119196,0.21,179,44125,0.41
EL63,EL,Dytiki Elláda,4385,631914,0.69,584,85853,0.68,2615,398390,0.66,1210,147741,0.82
EL64,EL,Sterea Elláda,1642,490368,0.33,146,63814,0.23,927,300066,0.31,568,126176,0.45
EL65,EL,Peloponnisos,2842,515946,0.55,202,65114,0.31,1491,315115,0.47,1167,135667,0.86
ES11,ES,Galicia,4830,2600146,0.19,378,300095,0.13,2856,1629689,0.18,1618,670536,0.24
ES12,ES,Principado de Asturias,1985,1005027,0.2,170,106412,0.16,1148,632027,0.18,668,266602,0.25
ES13,ES,Cantabria,1052,565756,0.19,73,72385,0.1,645,366359,0.18,337,127000,0.27
ES21,ES,País Vasco,127,2167641,0.01,14,289906,0.0,85,1385398,0.01,22,492205,0.0
ES22,ES,Comunidad Foral de Navarra,2299,661889,0.35,307,100086,0.31,1436,429851,0.33,555,131968,0.42
ES23,ES,La Rioja,0,318988,0.0,0,45142,0.0,0,206110,0.0,0,67742,0.0
ES24,ES,Aragón,796,1332025,0.06,32,182284,0.02,442,860041,0.05,320,289609,0.11
ES30,ES,Comunidad de Madrid,59,6730356,0.0,10,992381,0.0,38,4526939,0.0,10,1211011,0.0
ES41,ES,Castilla y León,1669,2385296,0.07,76,277325,0.03,928,1495043,0.06,655,613313,0.11
ES42,ES,Castilla-La Mancha,1622,2048940,0.08,212,300963,0.07,1069,1358856,0.08,347,389244,0.09
ES43,ES,Extremadura,1601,1061270,0.15,181,140425,0.13,1047,696764,0.15,375,224213,0.17
ES51,ES,Cataluña,916,7673546,0.01,124,1132683,0.01,592,5081390,0.01,205,1459558,0.01
ES52,ES,Comunitat Valenciana,2734,5005479,0.05,239,714720,0.03,1628,3306647,0.05,875,984434,0.09
ES53,ES,Illes Balears,9,1137340,0.0,0,166646,0.0,8,787542,0.0,0,183082,0.0
